iter	Logloss
0	0.6853504639
1	0.6803820801
2	0.6758363037
3	0.6715665283
4	0.6664415283
5	0.6611708374
6	0.6581122437
7	0.6539276733
8	0.6511292725
9	0.6472684937
10	0.6449395752
11	0.64277771
12	0.6407713013
13	0.6380043335
14	0.6364647217
15	0.6349995117
16	0.6335273437
17	0.6321280518
18	0.6307560425
19	0.6294958496
20	0.6276635132
21	0.6265622559
22	0.6255230713
23	0.6244595947
24	0.623491394
25	0.6220777588
26	0.6205272827
27	0.6193712769
28	0.6182420654
29	0.616932373
30	0.6162271118
31	0.6154607544
32	0.6149059448
33	0.6143568115
34	0.6138727417
35	0.6130328369
36	0.6117600098
37	0.6106956177
38	0.6095726929
39	0.6087315674
40	0.607968689
41	0.607232605
42	0.6068676758
43	0.6065224609
44	0.6056584473
45	0.6052219238
46	0.604375061
47	0.6036286011
48	0.6033708496
49	0.6031671143
50	0.6029003906
51	0.6022059937
52	0.6015366211
53	0.6011105347
54	0.6006497803
55	0.6001070557
56	0.5994788818
57	0.5990130615
58	0.5985601807
59	0.5980665894
60	0.5976868896
61	0.5974709473
62	0.5969057617
63	0.5966888428
64	0.5961898804
65	0.5959842529
66	0.5955853882
67	0.5951660156
68	0.5950409546
69	0.5946251831
70	0.5942628784
71	0.5941118774
72	0.5937106323
73	0.5933095093
74	0.5931603394
75	0.5930181274
76	0.5925698242
77	0.5923604126
78	0.5920134888
79	0.5916975708
80	0.5915045166
81	0.5913704834
82	0.5910206909
83	0.5908937988
84	0.590651062
85	0.5903102417
86	0.5899669189
87	0.5898147583
88	0.5895054321
89	0.5892731323
90	0.5890371094
91	0.5887055664
92	0.5884891968
93	0.5884152832
94	0.5882687378
95	0.5880283203
96	0.5879699707
97	0.5877269897
98	0.5874099731
99	0.5872282104
100	0.5870265503
101	0.5869502563
102	0.5868669434
103	0.5867950439
104	0.586581665
105	0.5864602661
106	0.586289856
107	0.5860751953
108	0.585953064
109	0.5857544556
110	0.5855834961
111	0.5854424438
112	0.5852872314
