iter	Passed	Remaining
0	41	41913
1	78	38943
2	112	37331
3	145	36116
4	178	35518
5	211	34999
6	243	34598
7	279	34669
8	315	34695
9	348	34518
10	383	34502
11	421	34667
12	454	34506
13	489	34508
14	522	34331
15	555	34135
16	591	34184
17	624	34056
18	660	34086
19	694	34042
20	729	34005
21	761	33837
22	797	33859
23	830	33783
24	866	33791
25	903	33833
26	938	33836
27	972	33773
28	1007	33733
29	1040	33640
30	1073	33562
31	1107	33489
32	1140	33419
33	1176	33422
34	1211	33406
35	1247	33408
36	1279	33301
37	1315	33292
38	1347	33210
39	1384	33226
40	1420	33228
41	1456	33219
42	1491	33197
43	1528	33215
44	1563	33186
45	1599	33176
46	1632	33103
47	1668	33084
48	1701	33030
49	1736	32992
50	1771	32970
51	1807	32959
52	1840	32890
53	1878	32905
54	1915	32914
55	1949	32864
56	1983	32813
57	2009	32630
58	2042	32577
59	2076	32535
60	2110	32495
61	2144	32437
62	2176	32373
63	2211	32338
64	2247	32331
65	2283	32311
66	2317	32268
67	2352	32236
68	2387	32217
69	2422	32181
70	2457	32157
71	2491	32110
72	2524	32056
73	2558	32010
74	2592	31976
75	2626	31926
76	2662	31911
77	2678	31657
78	2713	31636
79	2749	31621
80	2782	31563
81	2815	31524
82	2850	31491
83	2882	31437
84	2918	31412
85	2952	31382
86	2987	31353
87	3020	31306
88	3054	31267
89	3091	31256
90	3125	31216
91	3158	31168
92	3192	31130
93	3224	31082
94	3257	31034
95	3293	31014
96	3327	30979
97	3364	30971
98	3397	30919
99	3432	30895
100	3466	30857
101	3500	30816
102	3535	30788
103	3569	30752
104	3605	30730
105	3638	30689
106	3671	30642
107	3697	30538
108	3718	30397
109	3752	30362
110	3787	30336
111	3820	30293
112	3856	30275
113	3894	30265
114	3927	30221
115	3961	30185
116	3997	30171
117	4031	30133
118	4065	30098
119	4101	30079
120	4134	30032
121	4166	29985
122	4201	29958
123	4236	29930
124	4270	29895
125	4305	29864
126	4339	29832
127	4375	29805
128	4410	29781
129	4444	29744
130	4478	29711
131	4512	29672
132	4549	29655
133	4585	29633
134	4618	29592
135	4653	29560
136	4686	29523
137	4720	29488
138	4754	29448
139	4789	29420
140	4823	29383
141	4857	29353
142	4892	29319
143	4927	29288
144	4961	29255
145	4995	29219
146	5028	29181
147	5064	29155
148	5099	29124
149	5132	29085
150	5166	29051
151	5199	29009
152	5233	28974
153	5268	28943
154	5301	28904
155	5337	28876
156	5371	28841
157	5405	28805
158	5438	28763
159	5473	28735
160	5507	28701
161	5542	28670
162	5575	28629
163	5608	28587
164	5640	28546
165	5674	28511
166	5709	28479
167	5744	28447
168	5777	28407
169	5810	28367
170	5845	28336
171	5882	28316
172	5916	28282
173	5948	28238
174	5981	28199
175	6016	28167
176	6049	28127
177	6082	28087
178	6115	28049
179	6151	28025
180	6186	27991
181	6221	27960
182	6254	27921
183	6287	27882
184	6321	27848
185	6357	27820
186	6390	27782
187	6423	27745
188	6457	27711
189	6492	27676
190	6525	27640
191	6559	27605
192	6596	27584
193	6629	27542
194	6662	27506
195	6679	27398
196	6712	27361
197	6746	27325
198	6778	27282
199	6812	27249
200	6847	27221
201	6881	27183
202	6912	27140
203	6948	27111
204	6981	27073
205	7014	27034
206	7048	27003
207	7081	26963
208	7115	26930
209	7150	26897
210	7184	26866
211	7217	26828
212	7251	26791
213	7284	26756
214	7300	26656
215	7334	26621
216	7369	26593
217	7403	26557
218	7438	26525
219	7472	26494
220	7506	26459
221	7541	26427
222	7575	26396
223	7610	26366
224	7643	26328
225	7678	26297
226	7714	26270
227	7733	26185
228	7768	26154
229	7802	26121
230	7837	26090
231	7871	26057
232	7907	26030
233	7941	25996
234	7977	25969
235	8010	25931
236	8043	25895
237	8076	25858
238	8109	25822
239	8144	25789
240	8176	25751
241	8210	25718
242	8247	25691
243	8281	25659
244	8314	25621
245	8348	25587
246	8384	25561
247	8422	25537
248	8455	25502
249	8491	25473
250	8525	25440
251	8560	25408
252	8593	25372
253	8625	25334
254	8658	25295
255	8691	25260
256	8726	25229
257	8759	25193
258	8792	25156
259	8829	25130
260	8866	25103
261	8898	25066
262	8934	25037
263	8969	25005
264	9001	24966
265	9035	24932
266	9069	24898
267	9104	24867
268	9140	24840
269	9174	24805
270	9209	24773
271	9241	24735
272	9275	24701
273	9313	24676
274	9346	24640
275	9381	24608
276	9416	24577
277	9451	24547
278	9483	24508
279	9518	24476
280	9554	24446
281	9587	24410
282	9619	24372
283	9655	24343
284	9688	24306
285	9723	24274
286	9758	24244
287	9790	24205
288	9817	24153
289	9850	24117
290	9885	24085
291	9918	24048
292	9954	24020
293	9990	23991
294	10022	23952
295	10057	23920
296	10091	23887
297	10124	23851
298	10158	23815
299	10192	23781
300	10224	23743
301	10256	23704
302	10290	23671
303	10317	23622
304	10353	23592
305	10388	23561
306	10423	23528
307	10458	23496
308	10488	23455
309	10522	23420
310	10557	23390
311	10591	23356
312	10624	23318
313	10657	23282
314	10682	23230
315	10714	23192
316	10747	23157
317	10782	23124
318	10814	23087
319	10849	23055
320	10882	23019
321	10919	22991
322	10951	22954
323	10984	22918
324	11017	22882
325	11050	22847
326	11084	22812
327	11116	22776
328	11149	22739
329	11182	22704
330	11214	22666
331	11242	22620
332	11277	22588
333	11309	22550
334	11343	22518
335	11378	22486
336	11412	22453
337	11446	22419
338	11479	22384
339	11513	22349
340	11546	22314
341	11580	22281
342	11615	22248
343	11648	22213
344	11681	22178
345	11714	22141
346	11746	22105
347	11779	22070
348	11816	22042
349	11850	22008
350	11884	21975
351	11917	21939
352	11953	21908
353	11988	21877
354	12020	21840
355	12054	21806
356	12088	21772
357	12121	21737
358	12154	21702
359	12187	21667
360	12220	21631
361	12236	21565
362	12270	21532
363	12303	21496
364	12337	21463
365	12374	21435
366	12408	21401
367	12439	21364
368	12474	21332
369	12509	21299
370	12541	21262
371	12575	21229
372	12607	21193
373	12644	21164
374	12678	21130
375	12714	21100
376	12747	21065
377	12781	21032
378	12816	21000
379	12850	20966
380	12884	20933
381	12917	20898
382	12951	20863
383	12983	20828
384	13018	20796
385	13050	20759
386	13085	20727
387	13119	20692
388	13134	20630
389	13167	20595
390	13200	20559
391	13233	20524
392	13264	20487
393	13296	20450
394	13328	20415
395	13364	20384
396	13398	20350
397	13431	20315
398	13464	20281
399	13498	20248
400	13532	20214
401	13566	20180
402	13599	20145
403	13633	20112
404	13665	20076
405	13698	20041
406	13731	20007
407	13764	19972
408	13798	19938
409	13833	19906
410	13868	19874
411	13901	19840
412	13936	19808
413	13971	19775
414	14002	19738
415	14035	19703
416	14068	19669
417	14101	19633
418	14134	19599
419	14167	19564
420	14200	19530
421	14233	19495
422	14267	19461
423	14301	19429
424	14337	19397
425	14370	19363
426	14404	19329
427	14435	19292
428	14469	19258
429	14501	19222
430	14533	19187
431	14567	19152
432	14599	19117
433	14635	19087
434	14670	19054
435	14703	19019
436	14737	18987
437	14772	18954
438	14805	18919
439	14839	18886
440	14873	18852
441	14908	18821
442	14941	18786
443	14975	18752
444	15005	18715
445	15040	18682
446	15073	18648
447	15107	18614
448	15140	18579
449	15171	18542
450	15203	18507
451	15237	18474
452	15271	18440
453	15304	18405
454	15338	18372
455	15372	18338
456	15405	18304
457	15439	18271
458	15472	18236
459	15506	18203
460	15540	18169
461	15574	18135
462	15607	18102
463	15641	18068
464	15677	18037
465	15709	18002
466	15742	17966
467	15774	17932
468	15807	17897
469	15843	17866
470	15874	17829
471	15907	17795
472	15941	17761
473	15974	17726
474	15989	17672
475	16021	17637
476	16055	17604
477	16088	17569
478	16125	17538
479	16157	17504
480	16191	17470
481	16223	17435
482	16257	17401
483	16290	17368
484	16323	17332
485	16357	17300
486	16369	17243
487	16403	17209
488	16435	17175
489	16467	17140
490	16497	17102
491	16530	17067
492	16563	17033
493	16597	17000
494	16631	16967
495	16667	16935
496	16699	16901
497	16731	16865
498	16765	16832
499	16797	16797
500	16831	16764
501	16866	16731
502	16900	16698
503	16934	16666
504	16968	16632
505	17000	16597
506	17032	16561
507	17065	16528
508	17099	16495
509	17135	16463
510	17168	16429
511	17202	16396
512	17239	16365
513	17271	16330
514	17305	16297
515	17340	16264
516	17372	16230
517	17406	16196
518	17439	16162
519	17473	16129
520	17506	16095
521	17539	16061
522	17573	16028
523	17609	15996
524	17642	15962
525	17674	15927
526	17707	15893
527	17740	15859
528	17773	15824
529	17804	15789
530	17838	15755
531	17872	15722
532	17895	15679
533	17927	15644
534	17960	15610
535	17994	15577
536	18028	15543
537	18059	15508
538	18094	15476
539	18128	15442
540	18160	15407
541	18193	15373
542	18226	15339
543	18259	15305
544	18292	15271
545	18324	15237
546	18359	15204
547	18393	15171
548	18427	15137
549	18458	15102
550	18492	15069
551	18526	15036
552	18558	15001
553	18592	14968
554	18625	14933
555	18659	14900
556	18693	14867
557	18726	14833
558	18760	14800
559	18793	14765
560	18824	14730
561	18861	14699
562	18894	14666
563	18924	14629
564	18957	14595
565	18990	14561
566	19022	14527
567	19055	14493
568	19089	14459
569	19122	14425
570	19155	14392
571	19188	14357
572	19221	14324
573	19256	14291
574	19290	14258
575	19322	14223
576	19357	14190
577	19389	14156
578	19426	14125
579	19459	14091
580	19491	14057
581	19525	14023
582	19559	13990
583	19593	13957
584	19626	13922
585	19659	13888
586	19691	13854
587	19725	13821
588	19758	13787
589	19792	13754
590	19825	13719
591	19859	13687
592	19892	13653
593	19922	13616
594	19954	13582
595	19988	13549
596	20020	13514
597	20054	13481
598	20088	13448
599	20121	13414
600	20155	13381
601	20189	13347
602	20223	13314
603	20257	13281
604	20289	13246
605	20323	13213
606	20356	13179
607	20390	13146
608	20424	13113
609	20457	13079
610	20489	13045
611	20522	13010
612	20554	12976
613	20587	12942
614	20622	12909
615	20655	12876
616	20690	12843
617	20724	12810
618	20756	12775
619	20788	12741
620	20822	12708
621	20857	12675
622	20890	12641
623	20924	12608
624	20957	12574
625	20990	12540
626	21023	12506
627	21058	12474
628	21091	12440
629	21122	12405
630	21155	12371
631	21187	12337
632	21224	12305
633	21258	12272
634	21291	12238
635	21324	12204
636	21358	12171
637	21391	12137
638	21424	12103
639	21457	12069
640	21490	12036
641	21523	12001
642	21556	11968
643	21590	11935
644	21622	11900
645	21657	11868
646	21689	11833
647	21722	11799
648	21755	11765
649	21788	11732
650	21822	11699
651	21856	11665
652	21891	11632
653	21923	11598
654	21956	11564
655	21992	11532
656	22024	11498
657	22058	11464
658	22088	11429
659	22121	11396
660	22154	11362
661	22187	11328
662	22220	11294
663	22255	11261
664	22289	11228
665	22321	11194
666	22353	11160
667	22377	11121
668	22410	11087
669	22443	11054
670	22475	11020
671	22509	10986
672	22541	10952
673	22575	10919
674	22606	10884
675	22640	10851
676	22675	10818
677	22708	10784
678	22742	10751
679	22774	10717
680	22808	10684
681	22840	10650
682	22875	10617
683	22907	10582
684	22941	10549
685	22974	10516
686	23006	10481
687	23037	10447
688	23070	10413
689	23103	10379
690	23135	10345
691	23167	10311
692	23199	10277
693	23232	10243
694	23266	10210
695	23301	10177
696	23334	10143
697	23369	10111
698	23403	10077
699	23437	10044
700	23470	10011
701	23505	9978
702	23538	9944
703	23572	9911
704	23605	9877
705	23637	9843
706	23671	9809
707	23704	9776
708	23737	9742
709	23768	9708
710	23800	9674
711	23833	9640
712	23866	9606
713	23899	9573
714	23932	9539
715	23966	9506
716	23996	9471
717	24030	9438
718	24061	9403
719	24094	9370
720	24125	9335
721	24161	9303
722	24195	9269
723	24228	9236
724	24263	9203
725	24297	9170
726	24331	9136
727	24365	9103
728	24400	9070
729	24433	9037
730	24467	9003
731	24500	8970
732	24534	8936
733	24566	8902
734	24600	8869
735	24633	8835
736	24664	8801
737	24698	8768
738	24730	8734
739	24764	8700
740	24797	8667
741	24829	8633
742	24865	8600
743	24898	8567
744	24931	8533
745	24962	8499
746	24997	8466
747	25026	8431
748	25057	8397
749	25090	8363
750	25122	8329
751	25154	8295
752	25187	8262
753	25220	8228
754	25253	8194
755	25284	8160
756	25316	8126
757	25349	8093
758	25383	8059
759	25418	8026
760	25453	7993
761	25487	7960
762	25521	7927
763	25556	7894
764	25591	7861
765	25624	7827
766	25656	7794
767	25691	7761
768	25722	7726
769	25756	7693
770	25792	7660
771	25824	7626
772	25857	7593
773	25890	7559
774	25923	7526
775	25956	7492
776	25988	7458
777	26019	7424
778	26054	7391
779	26088	7358
780	26121	7324
781	26153	7290
782	26185	7256
783	26217	7223
784	26249	7189
785	26280	7155
786	26314	7121
787	26346	7088
788	26381	7054
789	26414	7021
790	26447	6988
791	26480	6954
792	26513	6920
793	26546	6887
794	26578	6853
795	26613	6820
796	26647	6787
797	26680	6753
798	26714	6720
799	26747	6686
800	26780	6653
801	26813	6619
802	26847	6586
803	26882	6553
804	26916	6520
805	26951	6487
806	26984	6453
807	27017	6420
808	27050	6386
809	27083	6352
810	27115	6319
811	27147	6285
812	27182	6252
813	27215	6218
814	27248	6185
815	27258	6146
816	27291	6113
817	27325	6079
818	27359	6046
819	27392	6012
820	27425	5979
821	27459	5946
822	27493	5912
823	27527	5879
824	27560	5846
825	27595	5812
826	27628	5779
827	27662	5746
828	27697	5713
829	27730	5679
830	27763	5646
831	27798	5613
832	27830	5579
833	27864	5546
834	27896	5512
835	27929	5478
836	27962	5445
837	27995	5412
838	28029	5378
839	28061	5345
840	28094	5311
841	28129	5278
842	28144	5241
843	28180	5208
844	28213	5175
845	28248	5142
846	28258	5104
847	28292	5071
848	28325	5037
849	28358	5004
850	28390	4970
851	28424	4937
852	28456	4904
853	28489	4870
854	28507	4834
855	28541	4801
856	28576	4768
857	28611	4735
858	28629	4699
859	28661	4665
860	28672	4628
861	28704	4595
862	28728	4560
863	28761	4527
864	28794	4493
865	28825	4460
866	28857	4426
867	28891	4393
868	28923	4360
869	28955	4326
870	28986	4293
871	29019	4259
872	29051	4226
873	29084	4192
874	29115	4159
875	29150	4126
876	29183	4093
877	29216	4059
878	29251	4026
879	29285	3993
880	29320	3960
881	29354	3927
882	29388	3893
883	29421	3860
884	29454	3827
885	29485	3793
886	29518	3760
887	29551	3727
888	29584	3693
889	29617	3660
890	29652	3627
891	29685	3594
892	29716	3560
893	29749	3527
894	29782	3494
895	29819	3461
896	29853	3427
897	29888	3394
898	29920	3361
899	29954	3328
900	29986	3294
901	30019	3261
902	30053	3228
903	30086	3195
904	30119	3161
905	30150	3128
906	30182	3094
907	30215	3061
908	30249	3028
909	30280	2994
910	30313	2961
911	30351	2928
912	30383	2895
913	30419	2862
914	30452	2828
915	30484	2795
916	30517	2762
917	30550	2728
918	30583	2695
919	30616	2662
920	30649	2628
921	30681	2595
922	30714	2562
923	30745	2528
924	30779	2495
925	30811	2462
926	30845	2429
927	30879	2395
928	30912	2362
929	30946	2329
930	30978	2295
931	31011	2262
932	31044	2229
933	31078	2196
934	31111	2162
935	31144	2129
936	31175	2096
937	31210	2062
938	31244	2029
939	31277	1996
940	31309	1963
941	31342	1929
942	31376	1896
943	31410	1863
944	31443	1830
945	31477	1796
946	31511	1763
947	31544	1730
948	31576	1696
949	31609	1663
950	31641	1630
951	31674	1597
952	31706	1563
953	31741	1530
954	31772	1497
955	31805	1463
956	31838	1430
957	31873	1397
958	31904	1364
959	31938	1330
960	31971	1297
961	32005	1264
962	32038	1230
963	32070	1197
964	32104	1164
965	32138	1131
966	32172	1097
967	32204	1064
968	32238	1031
969	32269	998
970	32302	964
971	32336	931
972	32370	898
973	32403	864
974	32436	831
975	32470	798
976	32502	765
977	32531	731
978	32565	698
979	32597	665
980	32629	631
981	32662	598
982	32693	565
983	32727	532
984	32759	498
985	32794	465
986	32828	432
987	32863	399
988	32897	365
989	32930	332
990	32963	299
991	32997	266
992	33031	232
993	33065	199
994	33098	166
995	33131	133
996	33165	99
997	33197	66
998	33231	33
999	33264	0
