iter	Logloss
0	0.6293703003
1	0.6122421875
2	0.6000887451
3	0.5850998535
4	0.5726914063
5	0.5520273437
6	0.5505383301
7	0.5338890381
8	0.5262213745
9	0.5238065796
10	0.5204362183
11	0.5139366455
12	0.50827771
13	0.497700592
14	0.4900637817
15	0.4891479797
16	0.4865887451
17	0.4860313721
18	0.4814794922
19	0.4803646851
20	0.4794458618
21	0.4714633179
22	0.4705097046
23	0.4659277344
24	0.4605358887
25	0.4564473572
26	0.4551255188
27	0.4529579468
28	0.4509095459
29	0.4507592163
30	0.4465287781
31	0.4465131226
32	0.445866333
33	0.43904245
34	0.4381004028
35	0.438024353
36	0.4364317017
37	0.4325405273
38	0.4259360962
39	0.42363974
40	0.4211997681
41	0.4116981201
42	0.4075138855
43	0.4055637207
44	0.4048573303
45	0.4032727661
46	0.4007919312
47	0.400722229
48	0.3966900635
49	0.3964956665
50	0.39633255
51	0.3950628052
52	0.3918475342
53	0.3883067017
54	0.3858504639
55	0.3845481567
56	0.3844432678
57	0.3819542847
58	0.3799240723
59	0.3787009277
60	0.3785522461
61	0.3760473022
62	0.3747075806
63	0.3745449219
64	0.3713983765
65	0.37134552
66	0.3699568481
67	0.3694993896
68	0.3693896484
69	0.3690136414
70	0.3687455444
71	0.3685721436
72	0.3684033508
73	0.3680980225
74	0.3680489502
75	0.3670768127
76	0.3649221497
77	0.3642567139
78	0.3599677429
79	0.3597830811
80	0.3583034973
81	0.3569107666
82	0.3559780884
83	0.3555617371
84	0.3554517822
85	0.3551397705
86	0.3551365356
87	0.3550930786
88	0.3550756836
89	0.3542225952
90	0.3504586792
91	0.3503813477
92	0.3502616272
93	0.3491021118
94	0.3490977173
95	0.3479783325
96	0.3476886597
97	0.3441306763
98	0.3427195435
99	0.3421237488
100	0.3417113953
101	0.3407141113
102	0.3360460205
103	0.3345860596
104	0.3331427612
105	0.3330970154
106	0.3330344849
107	0.3330114136
108	0.3327774658
109	0.3326434326
110	0.331875946
111	0.3315693359
112	0.3295214233
113	0.3295177612
114	0.3294880371
115	0.3293355103
116	0.3292351074
117	0.3285379028
118	0.3283922119
119	0.3283829956
120	0.3268635864
121	0.3266730042
122	0.3265571899
123	0.3263570557
124	0.3257470703
125	0.3252117004
126	0.325178009
127	0.3251645813
128	0.3250664368
129	0.324885498
130	0.3241832275
131	0.3232927551
132	0.3229014282
133	0.3226869507
134	0.3220296021
135	0.3209036865
136	0.3208482056
137	0.3207934875
138	0.3206966553
139	0.320519104
140	0.3203088989
141	0.3202949524
142	0.3202325745
143	0.3201002808
144	0.3200203857
145	0.3191199951
146	0.3191073303
147	0.3189927979
148	0.3185202637
149	0.3184483032
150	0.3178964233
151	0.3177132568
152	0.317682251
153	0.3176789856
154	0.3176660461
155	0.3176267395
156	0.3176063232
157	0.3175999451
158	0.3175769653
159	0.3173980713
160	0.3173877563
161	0.3171097412
162	0.3156215515
163	0.315565918
164	0.315383606
165	0.3153527832
166	0.311902771
167	0.3116265869
168	0.3116203308
169	0.3108746033
170	0.3094590759
171	0.3094156799
172	0.3093834229
173	0.3078590698
174	0.307729187
175	0.3072425537
176	0.3072404175
177	0.3064269409
178	0.3060911865
179	0.3059878845
180	0.3058846741
181	0.3043928528
182	0.3036529846
183	0.3034403381
184	0.3033161621
185	0.3007619019
186	0.30074823
187	0.3005899658
188	0.2997070312
189	0.2992270508
190	0.2992225952
191	0.2988017883
192	0.298770813
193	0.2987250977
194	0.2978126526
195	0.297796936
196	0.2968763428
197	0.2956112671
198	0.2952029419
199	0.2951858521
200	0.2948751831
201	0.2948174744
202	0.2947581787
203	0.2944403381
204	0.291706665
205	0.2893261414
206	0.2891758118
207	0.2891465454
208	0.2891246948
209	0.2890697632
210	0.2890524292
211	0.2888173828
212	0.288704071
213	0.2886964417
214	0.2886403198
215	0.2876291504
216	0.2871777344
217	0.2871470642
218	0.2871206665
219	0.2858431702
220	0.2845831909
221	0.2834778748
222	0.2832383423
223	0.2830733948
224	0.2825985718
225	0.282581604
226	0.2825640869
227	0.2820875854
228	0.2820656128
229	0.2820508423
230	0.2820192871
231	0.2808209839
232	0.2807718506
233	0.2806378479
234	0.2806272583
235	0.2806235352
236	0.280619812
237	0.280569458
238	0.2804744263
239	0.2775355225
240	0.2775281982
241	0.2756401062
242	0.2748152161
243	0.2747802429
244	0.2747350159
245	0.2739597168
246	0.2739364014
247	0.2731759033
248	0.2729683838
249	0.2720557861
250	0.2689181519
251	0.2688506165
252	0.2687484436
253	0.2686433105
254	0.2685510864
255	0.2678387451
256	0.2659089661
257	0.2653077087
258	0.265303772
259	0.2652992554
260	0.2652851562
261	0.2652747192
262	0.2650634766
263	0.265063324
264	0.2650500488
265	0.2648374634
266	0.264821106
267	0.2647598267
268	0.2647593384
269	0.2647282104
270	0.2647084656
271	0.2642136841
272	0.2638392944
273	0.2637366333
274	0.2636773987
275	0.2636328125
276	0.2636304321
277	0.2636195068
278	0.2636156006
279	0.2635418701
280	0.2625266113
281	0.2620618286
282	0.2619598389
283	0.2619578247
284	0.2605722046
285	0.2601352234
286	0.2597336426
287	0.2581400757
288	0.25807547
289	0.25790625
290	0.2579052734
291	0.2578991699
292	0.2578745728
293	0.2578658752
294	0.2578109131
295	0.2576389771
296	0.2570994568
297	0.2570886536
298	0.2570801392
299	0.2570785522
300	0.2570617065
301	0.2570585632
302	0.2569255371
303	0.2569190063
304	0.2552607422
305	0.2550082855
306	0.2548510437
307	0.2522616577
308	0.2522407532
309	0.2521507568
310	0.2521496124
311	0.2520760956
312	0.252034317
313	0.2519808044
314	0.2519704895
315	0.2508637543
316	0.2502610626
317	0.2495196533
318	0.2491865845
319	0.2481749573
320	0.247044632
321	0.2468465118
322	0.2468418121
323	0.2468083649
324	0.2468061066
325	0.2467899475
326	0.2464839935
327	0.2464769897
328	0.2464534302
329	0.2464002838
330	0.2463847961
331	0.2463825684
332	0.2463801575
333	0.2461625061
334	0.245995636
335	0.245978775
336	0.2459204407
337	0.2459095459
338	0.2459034729
339	0.2439503937
340	0.2438124084
341	0.2428670044
342	0.242789093
343	0.242772644
344	0.2427623444
345	0.242758606
346	0.2426641998
347	0.2422773285
348	0.2413282166
349	0.2407209167
350	0.2405293274
351	0.2405191956
352	0.2402282562
353	0.2402032776
354	0.2400897064
355	0.2400812378
356	0.2400797119
357	0.240076767
358	0.2400727844
359	0.2396470337
360	0.23964505
361	0.239619873
362	0.237685257
363	0.2376702423
364	0.2376695557
365	0.2376689758
366	0.2360314789
367	0.2360104523
368	0.2358876038
369	0.2347177429
370	0.2344279022
371	0.2339786377
372	0.2339101105
373	0.2332151337
374	0.2329678345
375	0.2327622986
376	0.2327075195
377	0.2326845703
378	0.2325516968
379	0.2316392517
380	0.2310794983
381	0.2304521027
382	0.2304337311
383	0.2303699493
384	0.2301728363
385	0.2301712952
386	0.2301027222
387	0.2300482483
388	0.2300433655
389	0.2300420532
390	0.2299548645
391	0.2299158325
392	0.2292357483
393	0.2290953217
394	0.2290589294
395	0.2288651123
396	0.2288364258
397	0.2287869568
398	0.2287853241
399	0.228581543
400	0.2285737
401	0.2285712738
402	0.2285709839
403	0.228487793
404	0.2282774963
405	0.2281824188
406	0.2281566467
407	0.2281299286
408	0.2280711975
409	0.2280627899
410	0.2280519409
411	0.2280462036
412	0.2277531128
413	0.2277029114
414	0.2273417969
415	0.2273311462
416	0.2273301849
417	0.2273046265
418	0.2271031799
419	0.2270864868
420	0.2269602966
421	0.2266904602
422	0.2266724701
423	0.2266695557
424	0.2260230255
425	0.2259673157
426	0.2259377594
427	0.2259192657
428	0.2259030457
429	0.2253030396
430	0.2252827454
431	0.2245053711
432	0.2216573639
433	0.2211776276
434	0.221057312
435	0.2209952393
436	0.2199412079
437	0.2182340393
438	0.2164355621
439	0.2162407532
440	0.2161482849
441	0.2161211243
442	0.2159693298
443	0.2159270935
444	0.2159268188
445	0.2159244232
446	0.2159091492
447	0.2158994446
448	0.2133914185
449	0.213347168
450	0.2133008118
451	0.2132945862
452	0.2119622803
453	0.2119459839
454	0.211903656
455	0.2118623352
456	0.2111123199
457	0.2108316956
458	0.2108308716
459	0.2108252563
460	0.2108252258
461	0.2108195648
462	0.2108062439
463	0.2103810577
464	0.2102950745
465	0.2080281525
466	0.2079940186
467	0.2077491455
468	0.2077392731
469	0.2076638794
470	0.2076582184
471	0.2076569214
472	0.207610321
473	0.2060699921
474	0.2055621643
475	0.2055587463
476	0.2055448303
477	0.2055417786
478	0.2055313416
479	0.2050334167
480	0.2050237122
481	0.2050033264
482	0.2048173218
483	0.2042205963
484	0.2042203369
485	0.2041707458
486	0.2041375122
487	0.2038544769
488	0.2028565979
489	0.2025770874
490	0.202546936
491	0.2025093994
492	0.2025035858
493	0.2024269409
494	0.202114624
495	0.2017485657
496	0.2017472229
497	0.2015271149
498	0.2014914551
499	0.2014825745
500	0.2014683838
501	0.2014679565
502	0.2014595947
503	0.2013985901
504	0.2013963928
505	0.2013399048
506	0.2012566528
507	0.2008063202
508	0.2008037567
509	0.2006123199
510	0.2000822601
511	0.199999115
512	0.1997749329
513	0.199769165
514	0.1997558594
515	0.1997346802
516	0.1997039642
517	0.1996798401
518	0.1996788025
519	0.1996087646
520	0.1994105072
521	0.1994048157
522	0.1994024353
523	0.1989030151
524	0.1988995667
525	0.1988952942
526	0.198862381
527	0.1988623047
528	0.1988415527
529	0.1971628418
530	0.1968721619
531	0.1968705902
532	0.1968693848
533	0.196867981
534	0.1952931366
535	0.1951690063
536	0.1951620178
537	0.1951545258
538	0.1946230774
539	0.1945977478
540	0.1945739441
541	0.1945521545
542	0.1945349121
543	0.1945257263
544	0.1929131012
545	0.1926706543
546	0.1921439514
547	0.1920916748
548	0.1920860138
549	0.192085907
550	0.192085144
551	0.1920838623
552	0.1920834961
553	0.1920828247
554	0.1920640869
555	0.1920302734
556	0.1919878693
557	0.1910433197
558	0.1910415955
559	0.1908764496
560	0.1908245239
561	0.1908172607
562	0.1908165741
563	0.1907771912
564	0.1900129852
565	0.1900072479
566	0.1898661499
567	0.1898323975
568	0.1898277283
569	0.189822998
570	0.1896708679
571	0.1896705017
572	0.1896425018
573	0.1891349487
574	0.1889250488
575	0.187323349
576	0.1873041382
577	0.185216095
578	0.1851691895
579	0.1851472778
580	0.1851381226
581	0.1850812988
582	0.1850732727
583	0.1850731506
584	0.1837020874
585	0.1836335449
586	0.1836308136
587	0.1835969238
588	0.1824918518
589	0.1820510559
590	0.1820340424
591	0.1819741058
592	0.1819707489
593	0.1819038391
594	0.1817561951
595	0.1816772461
596	0.181207077
597	0.1811995239
598	0.1811908112
599	0.181092926
600	0.1810918884
601	0.1810883179
602	0.1808969421
603	0.1803002014
604	0.1802798767
605	0.1802723999
606	0.1793453979
607	0.1791986694
608	0.1790886078
609	0.1790704651
610	0.1790645142
611	0.1790425568
612	0.1790282898
613	0.1790253601
614	0.1789821167
615	0.1780111847
616	0.1779652405
617	0.1779487915
618	0.1779380798
619	0.1779367523
620	0.1779320221
621	0.1779310455
622	0.1778480377
623	0.1778430481
624	0.1778276825
625	0.1776089172
626	0.1776065979
627	0.1776065369
628	0.1776004944
629	0.1775906677
630	0.1775022888
631	0.1773394165
632	0.1773384705
633	0.1766311951
