iter	Passed	Remaining
0	11	11238
1	24	12177
2	36	12120
3	48	11961
4	59	11765
5	78	12960
6	95	13495
7	109	13599
8	121	13393
9	133	13249
10	146	13127
11	157	12964
12	169	12874
13	181	12750
14	193	12727
15	206	12699
16	217	12602
17	229	12503
18	240	12410
19	251	12310
20	262	12229
21	274	12194
22	285	12143
23	297	12088
24	308	12035
25	320	12023
26	332	11982
27	344	11963
28	356	11935
29	367	11879
30	379	11860
31	390	11802
32	401	11766
33	412	11726
34	424	11700
35	435	11671
36	447	11645
37	459	11624
38	470	11594
39	482	11572
40	494	11557
41	505	11528
42	516	11488
43	527	11471
44	537	11409
45	548	11382
46	560	11360
47	571	11333
48	583	11328
49	595	11313
50	607	11302
51	618	11280
52	630	11270
53	642	11254
54	654	11237
55	665	11224
56	677	11202
57	689	11201
58	701	11180
59	712	11160
60	723	11143
61	735	11131
62	747	11119
63	758	11091
64	769	11069
65	781	11053
66	791	11026
67	803	11006
68	813	10978
69	824	10960
70	836	10942
71	847	10929
72	857	10893
73	869	10877
74	880	10859
75	891	10838
76	901	10806
77	911	10774
78	923	10767
79	933	10731
80	945	10730
81	957	10722
82	968	10700
83	979	10680
84	990	10657
85	1000	10636
86	1009	10594
87	1019	10562
88	1030	10545
89	1042	10537
90	1054	10528
91	1065	10512
92	1076	10496
93	1087	10481
94	1098	10463
95	1110	10453
96	1120	10433
97	1132	10426
98	1143	10409
99	1155	10395
100	1166	10380
101	1175	10353
102	1188	10351
103	1199	10338
104	1212	10335
105	1223	10320
106	1234	10302
107	1244	10277
108	1256	10269
109	1266	10244
110	1277	10231
111	1288	10216
112	1299	10203
113	1311	10191
114	1322	10174
115	1333	10159
116	1344	10143
117	1355	10129
118	1366	10115
119	1377	10099
120	1388	10088
121	1400	10076
122	1411	10062
123	1422	10048
124	1432	10024
125	1444	10017
126	1455	10003
127	1466	9988
128	1477	9973
129	1488	9960
130	1500	9952
131	1511	9940
132	1523	9933
133	1535	9922
134	1546	9911
135	1558	9900
136	1569	9885
137	1580	9870
138	1591	9859
139	1603	9849
140	1614	9837
141	1625	9823
142	1636	9809
143	1647	9794
144	1658	9779
145	1670	9769
146	1681	9754
147	1693	9746
148	1704	9737
149	1715	9723
150	1727	9711
151	1738	9696
152	1749	9683
153	1759	9668
154	1770	9653
155	1781	9637
156	1792	9625
157	1804	9615
158	1815	9603
159	1827	9595
160	1838	9582
161	1850	9573
162	1862	9566
163	1874	9553
164	1885	9541
165	1896	9529
166	1908	9518
167	1920	9509
168	1932	9500
169	1944	9493
170	1956	9484
171	1967	9470
172	1978	9457
173	1989	9446
174	2001	9433
